"dataset","base_dataset","replicate","separability","composition","method","true_celltype","recall"
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Louvain","NK_cell",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Leiden","CD14_Monocyte",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Leiden","B_cell",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Leiden","NK_cell",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Kmeans","CD14_Monocyte",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Kmeans","B_cell",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Kmeans","NK_cell",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Hierarchical","CD14_Monocyte",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Hierarchical","B_cell",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Hierarchical","NK_cell",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Louvain","CD14_Monocyte",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Louvain","B_cell",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Louvain","NK_cell",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Leiden","CD14_Monocyte",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Leiden","B_cell",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Leiden","NK_cell",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Kmeans","CD14_Monocyte",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Kmeans","B_cell",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Kmeans","NK_cell",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Hierarchical","CD14_Monocyte",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Hierarchical","B_cell",1
"S3_high_extreme_rep3","S3_high_extreme",3,"High","Extreme","Hierarchical","NK_cell",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Louvain","CD14_Monocyte",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Louvain","B_cell",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Louvain","NK_cell",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Leiden","CD14_Monocyte",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Leiden","B_cell",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Leiden","NK_cell",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Kmeans","CD14_Monocyte",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Kmeans","B_cell",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Kmeans","NK_cell",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Hierarchical","CD14_Monocyte",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Hierarchical","B_cell",1
"S3_high_extreme_rep4","S3_high_extreme",4,"High","Extreme","Hierarchical","NK_cell",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Louvain","CD14_Monocyte",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Louvain","B_cell",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Louvain","NK_cell",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Leiden","CD14_Monocyte",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Leiden","B_cell",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Leiden","NK_cell",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Kmeans","CD14_Monocyte",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Kmeans","B_cell",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Kmeans","NK_cell",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Hierarchical","CD14_Monocyte",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Hierarchical","B_cell",1
"S3_high_extreme_rep5","S3_high_extreme",5,"High","Extreme","Hierarchical","NK_cell",1
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Louvain","Naive_CD4_T",0.955
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Louvain","CD4_T_memory",0.946
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Louvain","CD8_T",0.984
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Leiden","Naive_CD4_T",0.954
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Leiden","CD4_T_memory",0.948
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Leiden","CD8_T",0.984
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Kmeans","Naive_CD4_T",0.962
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Kmeans","CD4_T_memory",0.946
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Kmeans","CD8_T",0.984
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Hierarchical","Naive_CD4_T",0.884
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Hierarchical","CD4_T_memory",0.927
"S4_low_balanced_rep1","S4_low_balanced",1,"Low","Balanced","Hierarchical","CD8_T",0.964
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Louvain","Naive_CD4_T",0.958
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Louvain","CD4_T_memory",0.915
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Louvain","CD8_T",0.993
